Datum,Meldung
2015-04-10,GfM: Gründung der AG Partizipations- und Fanforschung
2015-04-30,"CFP: Democracy and Islam (Wien, 05.-06.11.15 // 15.07.15)"
2015-04-30,CFP: Winter School - Zombies between (Pop-)Culture and (Visual) Politics (04.-08.04.16 // 30.09.15)
2015-04-30,"Veranstaltung: The Translation of Boundary Objects (Siegen, 07.-08.05.15)"
2015-04-30,"Veranstaltung: Das Dokumentarische (Bochum, 21.04.-30.06.15)"
2015-04-30,"Veranstaltung: Kicking Images. Bilderpolitiken / sexualisierte Gewalt / Interventionen (Linz, 06.-08.05.15)"
2015-04-30,"Veranstaltung: Sichtbarkeit und Sichtbarmachung. Hybride Formen des Bildwissens (Berlin, 04.05.-06.07.15)"
2015-04-30,"Veranstaltung: Architektur-Visionen #1-6 (Hamburg, 05.05.-15.07.15)"
2015-04-30,"Veranstaltung: Technological Conditions of Interventions History, Epistemology, Dramaturgy (Lüneburg, 19.-21.05.15)"
2015-04-30,"Veranstaltung: Aufklärung durch Sichtbarmachung. Bilder vom Wissen über die Gesellschaft (Potsdam, 08.05.15)"
2015-04-30,Hinweis: Wissenschaftspreis 2015 - Medienwissenschaft
2015-04-30,Hinweis: MediaArtHistories International Award
2015-04-30,"Stellenausschreibung: Promotionsstipendium Graduiertenkolleg ""Das Wissen der Künste"""
2015-04-30,"Stellenausschreibung: Drei Mitarbeiterstellen am Graduiertenkolleg ""Das Wissen der Künste"" in Berlin"
2015-04-30,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in Game Design und Game Studies an der Universität Bayreuth
2015-04-30,Stellenausschreibung: W3-Professur für Bildorientierte Medientechnologien / Technical Direction an der Filmuniversität Babelsberg
2015-04-30,Stellenausschreibung: Acht Promotionsstipendien an der Universität Duisburg-Essen
2015-04-30,CFP:  Der deutsche Nachkriegs-Schlagerfilm im Kontext seiner Zeit (31.05.15)
2015-04-30,CFP: Overlapping Images. Between Cinema and Photography (30.06.15)
2015-05-07,GfM: AG Interfaces nimmt Arbeit auf
2015-05-07,"Veranstaltung: Zur Zukunft der Medienwissenschaften. Positionen, Projekte, Perspektiven (Potsdam, 07.05.-16.07.15)"
2015-05-07,CFP: Quantified Selves | Statistic Bodies (01.07.15)
